date,gdp_diff,cpi,interest,ppi,une,cps,gdp_gap,lm_positive,lm_negative,vader_positive,vader_negative,words_count,recession,cpi_diff,interest_diff,cps_diff,une_diff,subprime,covid
2006-06-01,0.25952722667850026,2.5,4.0751,5.12041490155832,8.5,26.6,0.041906263882907524,0.0302832953435363,0.040377727124715,0.127,0.037,3071,0,0.0,0.014800000000000146,2.200000000000003,-0.09999999999999964,0,0
2006-07-01,0.2490545319312929,2.5,4.0963,4.90588082299981,8.4,27.8,0.08810262516816181,0.0151228733459357,0.0359168241965973,0.059,0.074,529,0,0.0,0.02120000000000033,1.1999999999999993,-0.09999999999999964,0,0
2006-08-01,0.24961278291939948,2.3,3.9682,4.67528970532308,8.3,29.0,0.14087304157885683,0.0412698412698412,0.0338624338624338,0.121,0.025,945,0,-0.20000000000000018,-0.12810000000000032,1.1999999999999993,-0.09999999999999964,0,0
2006-09-01,0.25851623368960475,1.8,3.8398,2.76186236240201,8.3,26.5,0.20920926459896805,0.0313990461049284,0.0655802861685214,0.122,0.092,2516,0,-0.4999999999999998,-0.12840000000000007,-2.5,0.0,0,0
2006-10-01,0.26648782078440547,1.6,3.8813,1.54833272511523,8.2,28.2,0.2928161994048821,0.0311725115125752,0.0641161884520014,0.08,0.078,2823,0,-0.19999999999999996,0.04150000000000009,1.6999999999999993,-0.10000000000000142,0,0
2006-11-01,0.2684144269892954,1.9,3.8041,2.74321841104433,8.1,30.7,0.38627110553733246,0.0273416350839198,0.0414185165132647,0.088,0.033,3694,0,0.2999999999999998,-0.07719999999999994,2.5,-0.09999999999999964,0,0
2006-12-01,0.26283509103859615,1.9,3.9026,2.92303606818541,8.0,29.5,0.4826699468130755,0.0312411246804884,0.0542459528543027,0.124,0.083,3521,0,0.0,0.09850000000000003,-1.1999999999999993,-0.09999999999999964,0,0
2007-01-01,0.2521126889967036,1.9,4.1028,2.16588789440063,8.0,25.9,0.5774447387309749,0.0274554203226719,0.0506651570902915,0.115,0.07,3533,0,0.0,0.20020000000000016,-3.6000000000000014,0.0,0,0
2007-02-01,0.23850915990429655,1.9,4.1175,2.65318676266324,7.9,23.1,0.6682559170842381,0.0475266731328807,0.07274490785645,0.127,0.07,2062,0,0.0,0.014699999999999491,-2.799999999999997,-0.09999999999999964,0,0
2007-03-01,0.2239834032693011,2.0,4.0227,2.98171777915785,7.8,21.9,0.7546827168449823,0.039570757880617,0.0610328638497652,0.137,0.045,1491,0,0.10000000000000009,-0.09479999999999933,-1.2000000000000028,-0.10000000000000053,0,0
2007-04-01,0.212706849540794,1.9,4.2459,2.88868655354105,7.7,21.1,0.8404293967735157,0.0374331550802139,0.067990832696715,0.13,0.049,1309,0,-0.10000000000000009,0.2231999999999994,-0.7999999999999972,-0.09999999999999964,0,0
2007-05-01,0.206743476805201,1.9,4.3731,2.80708742886743,7.6,20.2,0.9312117851945487,0.0326849809504712,0.0441146982153599,0.112,0.062,4987,0,0.0,0.1272000000000002,-0.9000000000000021,-0.10000000000000053,0,0
2007-06-01,0.20647000905741208,1.9,4.6608,2.40204228283525,7.6,23.1,1.0330640712751347,0.0206881043400045,0.0604902181245783,0.062,0.049,4447,0,0.0,0.28770000000000007,2.900000000000002,0.0,0,0
2007-07-01,0.21092317678798622,1.8,4.6284,2.47045183598144,7.6,22.3,1.1509925071878229,0.0419947506561679,0.0461942257217847,0.167,0.025,1905,0,-0.09999999999999987,-0.032399999999999984,-0.8000000000000007,0.0,0,0
2007-08-01,0.21783696005890363,1.8,4.4263,1.89902914671506,7.5,30.0,1.2876655846066,0.0263982102908277,0.0496644295302013,0.129,0.059,4470,0,0.0,-0.20209999999999972,7.699999999999999,-0.09999999999999964,0,0
2007-09-01,0.22317924932330868,2.2,4.3694,3.21991049079161,7.5,33.1,1.4416397556233562,0.0327408793264733,0.0598690364826941,0.123,0.154,1069,0,0.40000000000000013,-0.05690000000000062,3.1000000000000014,0.0,0,0
2007-10-01,0.22109267279908806,2.6,4.4002,4.09424755042044,7.5,31.1,1.605524679326706,0.0287945339189848,0.0575890678379697,0.096,0.062,4098,0,0.3999999999999999,0.03080000000000016,-2.0,0.0,0,0
2007-11-01,0.20679876394831354,3.1,4.2515,5.38272065011733,7.4,33.0,1.7670514343954409,0.034587995930824,0.0640895218718209,0.099,0.042,1966,0,0.5,-0.14869999999999983,1.8999999999999986,-0.09999999999999964,0,0
2007-12-01,0.17728840039639238,3.1,4.3818,5.16041086365874,7.4,31.8,1.9108304823643039,0.0302521008403361,0.042016806722689,0.103,0.004,595,0,0.0,0.13030000000000008,-1.1999999999999993,0.0,0,0
2008-01-01,0.1313898433657954,3.3,4.2317,5.99797789070522,7.4,33.3,2.020177834085345,0.02327064073956,0.0532355753905004,0.081,0.079,3137,1,0.19999999999999973,-0.15010000000000012,1.4999999999999964,0.0,0,0
2008-02-01,0.06907381950701108,3.3,4.1394,6.13780815518381,7.3,30.8,2.078247530499823,0.0261600747430706,0.0526315789473684,0.138,0.068,3211,1,0.0,-0.09229999999999983,-2.4999999999999964,-0.10000000000000053,0,0
2008-03-01,-0.0032846479231096737,3.7,4.0705,6.70173933608442,7.3,29.4,2.074428345678456,0.0310586176727909,0.0669291338582677,0.112,0.074,2286,1,0.40000000000000036,-0.06890000000000018,-1.4000000000000021,0.0,0,0
2008-04-01,-0.07929200832668926,3.3,4.2827,6.85002740949238,7.4,29.3,2.004358281544654,0.0310916628281897,0.0723169046522339,0.112,0.096,4342,1,-0.40000000000000036,0.21220000000000017,-0.09999999999999787,0.10000000000000053,0,0
2008-05-01,-0.15576962123500948,3.7,4.4233,8.06396089214366,7.5,31.0,1.8667099229665212,0.0219880897846999,0.0455794777828676,0.101,0.062,4366,1,0.40000000000000036,0.14060000000000006,1.6999999999999993,0.09999999999999964,0,0
2008-06-01,-0.23469319886200424,4.0,4.8093,9.26033501812586,7.6,33.5,1.6580409510508503,0.0304336799391326,0.0745625158508749,0.097,0.097,3943,1,0.2999999999999998,0.3860000000000001,2.5,0.09999999999999964,0,0
2008-07-01,-0.3178835638989881,4.1,4.8145,10.3226468417505,7.6,33.1,1.3729585915795894,0.0346715328467153,0.0574817518248175,0.115,0.053,1096,1,0.09999999999999964,0.005199999999999427,-0.3999999999999986,0.0,0,0
2008-08-01,-0.40623650501100883,3.9,4.496,9.7756567324874,7.6,25.3,1.0050591399369608,0.0274291027429102,0.0692701069270106,0.105,0.071,4302,1,-0.19999999999999973,-0.31849999999999934,-7.800000000000001,0.0,0,0
2008-09-01,-0.49425903103269775,3.7,4.5043,9.25324697037972,7.8,19.9,0.5533365383258939,0.0333333333333333,0.0715686274509803,0.115,0.02,1020,1,-0.19999999999999973,0.008299999999999308,-5.400000000000002,0.20000000000000018,0,0
2008-10-01,-0.5658933389856031,3.2,4.4158,6.71876748166861,7.9,21.9,0.032772736154143445,0.0373019928461931,0.0725600408788962,0.154,0.086,1957,1,-0.5,-0.0884999999999998,2.0,0.10000000000000053,1,0
2008-11-01,-0.6086088878878968,2.2,4.1964,2.57141483023949,8.1,13.5,-0.5291582023371433,0.0222531293463143,0.0559109874826147,0.106,0.084,3595,1,-1.0,-0.21940000000000026,-8.399999999999999,0.1999999999999993,1,0
