date,gdp_diff,cpi,interest,ppi,une,cps,gdp_gap,lm_positive,lm_negative,vader_positive,vader_negative,words_count,recession,cpi_diff,une_diff,ppi_diff,interest_diff,cps_diff,subprime,covid
2005-04-01,12877.5,2.033333333333333,3.4108,3.7115649497909167,9.3,15.166666666666666,-26932.611019058153,0.03518590040529097,0.05247185864538333,0.12406666666666667,0.04346666666666667,3478.866666666667,0,-0.03333333333333366,0.0666666666666682,-0.928800790461096,-0.2596666666666665,2.7333333333333343,0,0
2005-07-01,16984.799999999814,2.3000000000000003,3.262333333333333,3.9427545102969836,9.133333333333333,18.7,-20168.44711682014,0.03221732683662839,0.0470756126878613,0.11293333333333333,0.046599999999999996,3311.5333333333333,0,0.26666666666666705,-0.16666666666666785,0.23118956050606698,-0.1484666666666672,3.533333333333333,0,0
2005-10-01,14915.100000000093,2.3666666666666667,3.4198999999999997,3.6584049838936132,9.033333333333333,19.900000000000002,-15230.126905583777,0.03332997038392848,0.05045259387373366,0.12774074074074074,0.03911111111111111,3985.1111111111113,0,0.06666666666666643,-0.09999999999999964,-0.2843495264033704,0.15756666666666685,1.2000000000000028,0,0
2006-01-01,20244.19999999972,2.3666666666666667,3.5583000000000005,3.6950541800100467,8.866666666666667,19.166666666666668,-4609.268923337571,0.03349751443746364,0.04965116610511325,0.12033333333333333,0.037809523809523814,3890.0476190476193,0,0.0,-0.16666666666666607,0.03664919611643347,0.13840000000000074,-0.7333333333333343,0,0
2006-04-01,25603.200000000186,2.5,4.0489999999999995,4.6306289712954465,8.6,23.233333333333334,11843.12712124642,0.03212046147806739,0.05327460246608178,0.12625806451612903,0.04303225806451613,3630.516129032258,0,0.1333333333333333,-0.2666666666666675,0.9355747912853998,0.490699999999999,4.066666666666666,0,0
2006-07-01,13687.0,2.1999999999999997,3.9680999999999997,4.114344296908301,8.333333333333334,27.766666666666666,16973.842312572524,0.033583019272706884,0.047253609367215614,0.1246470588235294,0.04147058823529411,3265.823529411765,0,-0.30000000000000027,-0.2666666666666657,-0.5162846743871459,-0.08089999999999975,4.533333333333331,0,0
2006-10-01,27814.700000000186,1.8,3.862666666666667,2.404862401448323,8.1,29.46666666666667,36941.35578059312,0.03093907020075441,0.047838743376213265,0.12146875,0.039625,3467.5625,0,-0.3999999999999997,-0.23333333333333428,-1.7094818954599775,-0.1054333333333326,1.7000000000000028,0,0
2007-01-01,15050.599999999627,1.9333333333333333,4.081,2.6002641454072397,7.8999999999999995,23.633333333333336,44957.83800381608,0.03138822695244032,0.04644921942300414,0.11179166666666666,0.04454166666666667,3610.625,0,0.1333333333333333,-0.20000000000000018,0.19540174395891663,0.21833333333333327,-5.833333333333332,0,0
2007-04-01,17343.30000000028,1.8999999999999997,4.4266,2.699272088414577,7.633333333333333,21.46666666666667,56160.97111338936,0.03278391215028481,0.05095192078097142,0.12941176470588237,0.040058823529411765,3939.176470588235,0,-0.03333333333333366,-0.2666666666666666,0.0990079430073374,0.34559999999999924,-2.166666666666668,0,0
2007-07-01,10444.0,1.9333333333333336,4.4746999999999995,2.52979715782937,7.533333333333334,28.46666666666667,61411.53859170433,0.03333444827149214,0.05080404384969624,0.1265,0.04388461538461538,3304.6923076923076,0,0.03333333333333388,-0.09999999999999876,-0.16947493058520724,0.04809999999999981,7.0,0,0
2007-10-01,13095.100000000093,2.9333333333333336,4.3445,4.879126354732169,7.433333333333334,31.96666666666667,70277.62331421021,0.030909763899502497,0.053315605041930836,0.12313157894736843,0.045894736842105266,3499.0,0,1.0,-0.10000000000000053,2.3493291969027994,-0.13019999999999943,3.5,0,0
2008-01-01,11630.0,3.4333333333333336,4.147200000000001,6.279175127324483,7.333333333333333,31.166666666666668,78622.3259447366,0.03387511326708421,0.04898587277120112,0.11693548387096774,0.039096774193548386,3176.451612903226,1,0.5,-0.10000000000000053,1.4000487725923136,-0.19729999999999936,-0.8000000000000007,0,0
2008-04-01,-8019.9000000003725,3.6666666666666665,4.5051,8.058107773253967,7.5,31.266666666666666,68196.22363254009,0.032164238982894944,0.04753420210076782,0.1167608695652174,0.05069565217391304,3425.0652173913045,1,0.23333333333333295,0.16666666666666696,1.7789326459294843,0.357899999999999,0.09999999999999787,0,0
2008-07-01,-13131.19999999972,3.9,4.604933333333333,9.783850181539206,7.666666666666667,26.099999999999998,53424.154573165346,0.03270946087405097,0.052229605661704745,0.12260714285714285,0.05110714285714286,3272.25,1,0.2333333333333334,0.16666666666666696,1.7257424082852388,0.09983333333333366,-5.166666666666668,0,0
2008-10-01,-43599.39999999991,2.3666666666666667,4.166766666666667,3.202345806835671,8.133333333333333,15.133333333333333,8792.834322382696,0.031772626296175034,0.05834232076061482,0.12134285714285714,0.06382857142857143,3447.3714285714286,1,-1.5333333333333332,0.4666666666666659,-6.581504374703535,-0.4381666666666666,-10.966666666666665,1,0
2009-01-01,-74648.6000000001,1.0,4.1473,-2.0522400293947496,9.1,5.8,-66468.51166064339,0.03018170919269321,0.057192970979119996,0.11159259259259259,0.07155555555555555,3712.777777777778,1,-1.3666666666666667,0.9666666666666668,-5.2545858362304205,-0.0194666666666663,-9.333333333333332,1,0
2009-04-01,-454.89999999990687,0.19999999999999998,4.181866666666667,-5.400565670634896,9.700000000000001,-3.533333333333333,-67312.25343820034,0.030234645447526142,0.06060059668638278,0.11599999999999999,0.07247058823529412,3525.0588235294117,1,-0.8,0.6000000000000014,-3.3483256412401468,0.034566666666666634,-9.333333333333332,1,0
