date,gdp,cpi,interest,ppi,une,cps,gdp_cycle,gdp_trend,lm_positive,lm_negative,vader_positive,vader_negative,gdp_diff,cpi_diff,une_diff,ppi_diff,interest_diff,subprime,debt_crises,covid
2009-06-01,89.8010638037272,-0.1,4.3237,93.5,9.8,-6.0,-2.3509073500738253,92.15197115380103,0.031229415349509626,0.06401249681421393,0.11757894736842105,0.07331578947368421,0.04892190225370996,-0.2,0.10000000000000142,0.20000000000000284,0.1896999999999993,0,0,0
2009-07-01,89.9127390756046,-0.6,4.0889,92.9,9.9,-8.6,-2.226064896724125,92.13880397232873,0.038374591819018096,0.050362412576162606,0.13433333333333333,0.034,0.11167527187740234,-0.5,0.09999999999999964,-0.5999999999999943,-0.2347999999999999,0,0,0
2009-08-01,90.0631954528366,-0.1,3.89,93.3,9.9,-12.5,-2.070374099816732,92.13356955265333,0.0251369189720544,0.0565931751158545,0.127,0.056,0.1504563772319898,0.5,0.0,0.3999999999999915,-0.19889999999999963,0,0,0
2009-09-01,90.2348357370973,-0.3,3.8669,93.0,10.1,-10.4,-1.9016964958765499,92.13653223297385,0.03134233622486133,0.06359545037760321,0.11246666666666667,0.06926666666666666,0.17164028426070388,-0.19999999999999998,0.1999999999999993,-0.29999999999999716,-0.023100000000000342,0,0,0
2009-10-01,90.4159830174154,-0.1,3.8036,93.2,10.2,-10.3,-1.731829558094816,92.14781257551022,0.029121320848496467,0.058906831510506255,0.1083,0.08159999999999999,0.18114728031810046,0.19999999999999998,0.09999999999999964,0.20000000000000284,-0.06329999999999991,0,0,0
2009-11-01,90.6015132539574,0.5,3.8368,93.4,10.2,-7.2,-1.5658858262682998,92.1673990802257,0.03221498670896673,0.05967066111747531,0.13042857142857142,0.06742857142857142,0.1855302365420073,0.6,0.0,0.20000000000000284,0.03320000000000034,0,0,0
2009-12-01,90.7926978534387,0.9,3.8718,93.4,10.2,-2.5,-1.4024621277033873,92.19515998114208,0.028704771313754863,0.05735475353784651,0.1004,0.0699,0.1911845994812893,0.4,0.0,0.0,0.0349999999999997,0,0,0
2010-01-01,90.9965282752426,0.9,4.1012,94.1,10.3,1.4,-1.234326494967192,92.23085477020979,0.030203082748403984,0.06274985359474612,0.10583333333333333,0.09816666666666667,0.2038304218039002,0.0,0.10000000000000142,0.6999999999999886,0.2294000000000005,0,0,0
2010-02-01,91.219914464661,0.8,4.1068,94.3,10.4,3.8,-1.054231081515013,92.27414554617602,0.02912775735890597,0.06058932642198376,0.114,0.07442857142857143,0.22338618941840593,-0.09999999999999998,0.09999999999999964,0.20000000000000284,0.005599999999999383,0,0,0
2010-03-01,91.4678589040794,1.6,3.9852,94.9,10.3,7.5,-0.8567497865907114,92.32460869067012,0.03134798846776803,0.05584982620845566,0.11936363636363635,0.07372727272727272,0.24794443941840427,0.8,-0.09999999999999964,0.6000000000000085,-0.12159999999999993,0,0,0
2010-04-01,91.7320756655013,1.6,4.1533,95.7,10.4,11.7,-0.6496717093284303,92.38174737482973,0.033913355435925385,0.059565331346226956,0.1346875,0.0811875,0.264216761421892,0.0,0.09999999999999964,0.7999999999999972,0.16809999999999992,0,0,0
2010-05-01,91.9998888993021,1.7,3.6821,96.2,10.4,14.9,-0.4451163739773847,92.44500527327949,0.03271152049960273,0.05799405089368985,0.12118181818181818,0.06936363636363636,0.26781323380080835,0.09999999999999987,0.0,0.5,-0.4711999999999996,0,0,0
2010-06-01,92.2606561596921,1.5,3.6894,96.6,10.4,14.1,-0.25312478486100076,92.5137809445531,0.03407733168970051,0.057548551660619326,0.11678571428571428,0.06964285714285715,0.2607672603899971,-0.19999999999999996,0.0,0.3999999999999915,0.007299999999999862,0,0,0
