date,gdp_diff,cpi,interest,ppi,une,lm_positive,lm_negative,vader_positive,vader_negative,words_count,recession,cpi_diff,une_diff,ppi_diff,interest_diff
2005-01-01,5406.5,2.066666666666667,3.6704666666666665,4.64036574025199,9.233333333333333,0.0292409344666047,0.042355116056589,0.1011111111111111,0.0435555555555555,2960.5,0,,,,
2005-04-01,12877.600000000091,2.033333333333333,3.4108,3.7115649497909264,9.3,0.0351859004052909,0.0524718586453833,0.1240666666666666,0.0434666666666666,3478.866666666667,0,-0.03333333333333366,0.0666666666666682,-0.9288007904610631,-0.2596666666666665
2005-07-01,16984.799999999814,2.3000000000000003,3.262333333333333,3.942754510296967,9.133333333333333,0.0322173268366283,0.0470756126878613,0.1129333333333333,0.0465999999999999,3311.5333333333333,0,0.26666666666666705,-0.16666666666666785,0.23118956050604078,-0.1484666666666672
2005-10-01,14915.200000000186,2.3666666666666667,3.4199,3.6584049838936,9.033333333333331,0.0333299703839284,0.0504525938737336,0.1277407407407407,0.0391111111111111,3985.1111111111113,0,0.06666666666666643,-0.10000000000000142,-0.2843495264033673,0.1575666666666673
2006-01-01,20243.899999999907,2.3666666666666667,3.5583000000000005,3.695054180010013,8.866666666666667,0.0334975144374636,0.0496511661051132,0.1203333333333333,0.0378095238095238,3890.0476190476193,0,0.0,-0.1666666666666643,0.03664919611641304,0.1384000000000003
2006-04-01,25603.399999999907,2.5,4.049,4.630628971295423,8.566666666666666,0.0321204614780673,0.0532746024660817,0.126258064516129,0.0430322580645161,3630.516129032258,0,0.1333333333333333,-0.3000000000000007,0.9355747912854104,0.4906999999999999
2006-07-01,13687.0,2.2,3.9681,4.114344296908267,8.333333333333334,0.0335830192727068,0.0472536093672156,0.1246470588235294,0.0414705882352941,3265.823529411765,0,-0.2999999999999998,-0.2333333333333325,-0.5162846743871565,-0.0809000000000002
2006-10-01,27814.799999999814,1.8,3.862666666666667,2.4048624014482933,8.1,0.0309390702007544,0.0478387433762132,0.12146875,0.039625,3467.5625,0,-0.40000000000000013,-0.23333333333333428,-1.7094818954599735,-0.10543333333333305
2007-01-01,15050.400000000373,1.9333333333333331,4.081,2.60026414540731,7.899999999999999,0.0313882269524403,0.0464492194230041,0.1117916666666666,0.0445416666666666,3610.625,0,0.13333333333333308,-0.20000000000000107,0.19540174395901655,0.21833333333333327
2007-04-01,17343.399999999907,1.9,4.4266,2.6992720884145838,7.633333333333333,0.0327839121502848,0.0509519207809714,0.1294117647058823,0.0400588235294117,3939.176470588235,0,-0.033333333333333215,-0.2666666666666657,0.09900794300727389,0.34559999999999924
2007-07-01,10444.0,1.9333333333333336,4.4747,2.52979715782943,7.533333333333334,0.0333344482714921,0.0508040438496962,0.1265,0.0438846153846153,3304.692307692308,0,0.03333333333333366,-0.09999999999999876,-0.16947493058515395,0.0481000000000007
2007-10-01,13095.19999999972,2.9333333333333336,4.3445,4.879126354732187,7.433333333333334,0.0309097638995024,0.0533156050419308,0.1231315789473684,0.0458947368421052,3499.0,0,1.0,-0.10000000000000053,2.349329196902757,-0.13020000000000032
2008-01-01,11629.900000000373,3.4333333333333336,4.147200000000001,6.279175127324483,7.400000000000001,0.0338751132670842,0.0489858727712011,0.1169354838709677,0.0390967741935483,3176.451612903226,1,0.5,-0.03333333333333233,1.4000487725922959,-0.19729999999999936
2008-04-01,-8020.0,3.6666666666666665,4.5051,8.05810777325403,7.5,0.0321642389828949,0.0475342021007678,0.1167608695652174,0.050695652173913,3425.0652173913045,1,0.23333333333333295,0.09999999999999876,1.7789326459295465,0.357899999999999
2008-07-01,-13131.100000000091,3.9,4.604933333333333,9.783850181539224,7.633333333333333,0.0327094608740509,0.0522296056617047,0.1226071428571428,0.0511071428571428,3272.25,1,0.2333333333333334,0.13333333333333286,1.7257424082851944,0.09983333333333366
2008-10-01,-43599.30000000028,2.3666666666666667,4.166766666666667,3.2023458068356967,8.133333333333333,0.031772626296175,0.0583423207606148,0.1213428571428571,0.0638285714285714,3447.3714285714286,1,-1.5333333333333332,0.5,-6.581504374703528,-0.4381666666666666
2009-01-01,-74648.59999999963,1.0,4.1473,-2.05224002939473,9.1,0.0301817091926932,0.0571929709791199,0.1115925925925925,0.0715555555555555,3712.777777777778,1,-1.3666666666666667,0.9666666666666668,-5.254585836230427,-0.0194666666666663
2009-04-01,-455.10000000009313,0.1999999999999999,4.181866666666667,-5.40056567063494,9.7,0.0302346454475261,0.0606005966863827,0.1159999999999999,0.0724705882352941,3525.058823529412,1,-0.8,0.5999999999999996,-3.34832564124021,0.034566666666666634
2009-07-01,9070.0,-0.3333333333333333,3.9486,-6.687807798116476,10.0,0.0321260914632646,0.0611374825530731,0.1166842105263157,0.063,3321.894736842105,0,-0.5333333333333332,0.3000000000000007,-1.2872421274815364,-0.23326666666666718
2009-10-01,10652.899999999909,0.4333333333333333,3.8374,-1.506260584302643,10.2,0.0302726686925896,0.0587648560625935,0.1150882352941176,0.0723235294117647,3235.264705882353,0,0.7666666666666666,0.1999999999999993,5.181547213813833,-0.11119999999999974
2010-01-01,9404.899999999909,1.1,4.0644,2.928824134572187,10.333333333333334,0.0304141946311755,0.0589571872839739,0.1144166666666666,0.0800416666666666,3039.2916666666665,0,0.6666666666666667,0.13333333333333464,4.43508471887483,0.22699999999999987
2010-04-01,22886.200000000183,1.6,3.8416,4.007272677115957,10.4,0.0336469038079571,0.0584551118199729,0.1249512195121951,0.0740731707317073,3206.731707317073,0,0.5,0.06666666666666643,1.0784485425437698,-0.2227999999999999
