"","cpi_diff90","cpi_diff_lower90","cpi_diff_upper90","gdp_cycle90","gdp_cycle_lower90","gdp_cycle_upper90","interest_diff90","interest_diff_lower90","interest_diff_upper90","ppi_diff90","ppi_diff_lower90","ppi_diff_upper90","une_diff90","une_diff_lower90","une_diff_upper90","cpi_diff68","cpi_diff_lower68","cpi_diff_upper68","gdp_cycle68","gdp_cycle_lower68","gdp_cycle_upper68","interest_diff68","interest_diff_lower68","interest_diff_upper68","ppi_diff68","ppi_diff_lower68","ppi_diff_upper68","une_diff68","une_diff_lower68","une_diff_upper68"
"6",0.00557404841553596,-0.00579100867980866,0.0156416233162248,0.0871895246949621,-0.0204086797154357,0.239296398652943,0.00172818193124679,-0.00834982811856898,0.00899359283822333,0.0295586514141622,-0.000799138723650555,0.0684686198894471,-0.00131406256441013,-0.00936353721841903,0.00659228474145171,0.00557404841553596,-0.0019581223958803,0.0103829435307428,0.0871895246949621,0.0166143219891191,0.164212958836206,0.00172818193124679,-0.00438316981126687,0.00488575460600529,0.0295586514141622,0.00758686361424473,0.0394418801990662,-0.00131406256441013,-0.00526510052681346,0.00264952575894577
"7",0.00481989641297348,-0.00332296904486525,0.0127936626779741,0.122299154376708,0.0151698929517439,0.320127218730069,0.000585925720490293,-0.00543090003647717,0.00609968364154979,0.0212941148164734,-0.00125002387238566,0.0520749417127401,-0.00433823064177004,-0.0106099985541579,0.00209433584262937,0.00481989641297348,-0.00145675370920298,0.00949813989976939,0.122299154376708,0.0522077052784703,0.198221839095223,0.000585925720490293,-0.00342634482980598,0.00290835698524697,0.0212941148164734,0.00434095690807772,0.0344200900811226,-0.00433823064177004,-0.0083966381256313,-0.000804501719735998
"8",0.00364447734573048,-0.001702422239917,0.0101174075491669,0.11476708927498,0.0150220664422119,0.300125111164272,0.000957749602226903,-0.00295471387557435,0.00565586585386113,0.0115470209624338,-0.00517567678280237,0.0374708002262512,-0.00488792204662798,-0.0126311096616709,2.11067152851581e-05,0.00364447734573048,4.25887526072607e-05,0.00655637587132414,0.11476708927498,0.0414726289881098,0.203760639411429,0.000957749602226903,-0.00170915983809684,0.00310367273613246,0.0115470209624338,-0.000339718746126268,0.020540666026086,-0.00488792204662798,-0.00825871339720973,-0.00188269414007746
"9",0.00206699677953111,-0.00234170630915686,0.00711269788905131,0.0813146249746374,0.00254413659867306,0.22008146052023,0.00125120683568391,-0.0015124807116852,0.00496372287119094,0.00269093885377728,-0.013766788462639,0.0197213056631049,-0.00449758333666771,-0.00959498138006432,-0.000745864563896229,0.00206699677953111,-0.000710975872038986,0.00430185238852609,0.0813146249746374,0.0184809850454699,0.159171485811646,0.00125120683568391,-0.000695832166560324,0.00295520353221331,0.00269093885377728,-0.00537145867313216,0.00850795379688771,-0.00449758333666771,-0.00707533761303887,-0.00191969822172838
"10",0.000898185418281447,-0.00293682525537372,0.00607583439470416,0.0400684007128882,-0.0235813732847426,0.175963263906265,0.00122019032999708,-0.00110338456044001,0.00470784830970669,-0.002804281323248,-0.0188764684362118,0.00771498426280309,-0.00335994795709358,-0.00936536447906743,-0.000123261610768155,0.000898185418281447,-0.00112809138085357,0.00267257113891707,0.0400684007128882,-0.00748029332737716,0.0707112846901317,0.00122019032999708,-4.3622774034036e-05,0.00270754116845582,-0.002804281323248,-0.0108496231236384,0.00233673162094225,-0.00335994795709358,-0.00539288438988273,-0.00102435272005175
"11",0.00020473811675819,-0.00315954529591134,0.00339748318346615,0.00478065700625908,-0.0403581289439574,0.0608366055325059,0.000878959419514625,-0.00093546870638687,0.00396174954708531,-0.00485679953614055,-0.0205874538149051,0.00341607186954423,-0.00200085180738637,-0.00605770264074771,0.00053989903936762,0.00020473811675819,-0.00139018722107057,0.00176595997477071,0.00478065700625908,-0.0323880784745916,0.0275360931231854,0.000878959419514625,-0.000303883985303803,0.00206378901988463,-0.00485679953614055,-0.011766606465464,0.000720397455089263,-0.00200085180738637,-0.00341538709868469,-0.000292508003169754
"12",-0.000122069832752677,-0.00266031307795532,0.0023535093827447,-0.0176745163784132,-0.0763693976277712,0.0246828939600753,0.000497572726984319,-0.000993290434499767,0.00321260769424315,-0.00457280227899923,-0.0188263435980385,0.00203186673288633,-0.000774511897681045,-0.00325549825620402,0.00122824994307289,-0.000122069832752677,-0.00162702962102458,0.000944957765659869,-0.0176745163784132,-0.0511537946015577,0.00117512614730062,0.000497572726984319,-0.000415258523148667,0.00171740499260578,-0.00457280227899923,-0.00921912211660046,0.000550766614626321,-0.000774511897681045,-0.00209270488074732,0.000674112202903718
"13",-0.000211681307396684,-0.00253292432313458,0.00154818952302481,-0.0266098468655324,-0.0948178807607148,-8.42041634111037e-06,0.00018371543352354,-0.00113332541993365,0.0020625245316266,-0.00309458641542462,-0.0151069656831508,0.00197959792197229,7.43300195523318e-05,-0.00161276475598775,0.00204959737051897,-0.000211681307396684,-0.00126669484144728,0.000714441327344222,-0.0266098468655324,-0.0630699488828058,-0.00688581997878926,0.00018371543352354,-0.000518146280499554,0.00103679013582428,-0.00309458641542462,-0.00763166617345237,0.000813609888221172,7.43300195523318e-05,-0.000621407021339254,0.0011164629619459
"14",-0.000152316087574878,-0.00225833258715522,0.00121643169157357,-0.0251099934095496,-0.0810063406206372,-0.000332761725912854,-2.74198314523576e-05,-0.000991936144224252,0.00100661117124783,-0.00130688458237891,-0.00992704567659753,0.0040794663898985,0.000500694762062512,-0.000759177056409349,0.00241160774528032,-0.000152316087574878,-0.00108895849154835,0.000529203288341109,-0.0251099934095496,-0.0617991981851761,-0.00424498202065189,-2.74198314523576e-05,-0.00066306030976273,0.000695748997661685,-0.00130688458237891,-0.00481231419718263,0.00163959622914924,0.000500694762062512,-4.10253459784705e-05,0.001385134891082
"15",-3.14913774246077e-05,-0.00151126682020178,0.00176266767504476,-0.0176973934542931,-0.0789551292463811,0.00506600951240586,-0.000135363294882607,-0.00111210368806537,0.000650159568067126,0.000193676077385239,-0.00480754432835576,0.00507397332473152,0.00058101030963678,-0.000541627449133589,0.00241161003699855,-3.14913774246077e-05,-0.000461866049775259,0.000496664064465646,-0.0176973934542931,-0.0394284825936074,-0.00217119776785422,-0.000135363294882607,-0.000656696678647662,0.00027272251567457,0.000193676077385239,-0.00064924462964936,0.00274453404125004,0.00058101030963678,1.30139326056692e-05,0.00152395149901231
