date,gdp_diff,cpi,interest,ppi,une,cps,gdp_gap,lm_positive,lm_negative,vader_positive,vader_negative,words_count,recession,cpi_diff,une_diff,ppi_diff,interest_diff,cps_diff,subprime,covid
2005-04-01,12877.5,2.033333333333333,3.4108,3.7115649497909167,9.3,15.166666666666666,-26918.577980119735,0.0342261904761904,0.0654761904761904,0.079,0.101,4032,0,-0.03333333333333366,0.0666666666666682,-0.928800790461096,-0.2596666666666665,2.7333333333333343,0,0
2005-07-01,16984.799999999814,2.3000000000000003,3.262333333333333,3.9427545102969836,9.133333333333333,18.7,-20150.130856455304,0.0290620871862615,0.0535006605019815,0.093,0.069,1514,0,0.26666666666666705,-0.16666666666666785,0.23118956050606698,-0.1484666666666672,3.533333333333333,0,0
2005-10-01,14915.100000000093,2.3666666666666667,3.4198999999999997,3.6584049838936132,9.033333333333333,19.900000000000002,-15206.96921996167,0.0247584541062801,0.0634057971014492,0.095,0.101,1656,0,0.06666666666666643,-0.09999999999999964,-0.2843495264033704,0.15756666666666685,1.2000000000000028,0,0
2006-01-01,20244.19999999972,2.3666666666666667,3.5583000000000005,3.6950541800100467,8.866666666666667,19.166666666666668,-4580.706453076098,0.0269452013321223,0.0551014229488343,0.105,0.067,3303,0,0.0,-0.16666666666666607,0.03664919611643347,0.13840000000000074,-0.7333333333333343,0,0
2006-04-01,25603.200000000186,2.5,4.0489999999999995,4.6306289712954465,8.6,23.233333333333334,11877.648417526856,0.0209178894786138,0.045582266625039,0.1,0.042,3203,0,0.1333333333333333,-0.2666666666666675,0.9355747912853998,0.490699999999999,4.066666666666666,0,0
2006-07-01,13687.0,2.1999999999999997,3.9680999999999997,4.114344296908301,8.333333333333334,27.766666666666666,17014.849306704476,0.019534184823441,0.051465063861758,0.094,0.043,2662,0,-0.30000000000000027,-0.2666666666666657,-0.5162846743871459,-0.08089999999999975,4.533333333333331,0,0
2006-10-01,27814.700000000186,1.8,3.862666666666667,2.404862401448323,8.1,29.46666666666667,36989.32659905311,0.0206063007727362,0.0641965524073707,0.081,0.085,5047,0,-0.3999999999999997,-0.23333333333333428,-1.7094818954599775,-0.1054333333333326,1.7000000000000028,0,0
2007-01-01,15050.599999999627,1.9333333333333333,4.081,2.6002641454072397,7.8999999999999995,23.633333333333336,45013.17639835272,0.0170745589072282,0.047808764940239,0.11,0.043,1757,0,0.1333333333333333,-0.20000000000000018,0.19540174395891663,0.21833333333333327,-5.833333333333332,0,0
2007-04-01,17343.30000000028,1.8999999999999997,4.4266,2.699272088414577,7.633333333333333,21.46666666666667,56223.97647926165,0.030213706705969,0.0670596904937361,0.099,0.066,2714,0,-0.03333333333333366,-0.2666666666666666,0.0990079430073374,0.34559999999999924,-2.166666666666668,0,0
2007-07-01,10444.0,1.9333333333333336,4.4746999999999995,2.52979715782937,7.533333333333334,28.46666666666667,61482.37138118548,0.0295461468169357,0.0386841303685653,0.108,0.023,3283,0,0.03333333333333388,-0.09999999999999876,-0.16947493058520724,0.04809999999999981,7.0,0,0
2007-10-01,13095.100000000093,2.9333333333333336,4.3445,4.879126354732169,7.433333333333334,31.96666666666667,70356.26565823378,0.0366373189434819,0.0675944333996023,0.115,0.069,3521,0,1.0,-0.10000000000000053,2.3493291969027994,-0.13019999999999943,3.5,0,0
2008-01-01,11630.0,3.4333333333333336,4.147200000000001,6.279175127324483,7.333333333333333,31.166666666666668,78708.53738240246,0.0472488038277511,0.0795454545454545,0.114,0.089,1672,1,0.5,-0.10000000000000053,1.4000487725923136,-0.19729999999999936,-0.8000000000000007,0,0
2008-04-01,-8019.9000000003725,3.6666666666666665,4.5051,8.058107773253967,7.5,31.266666666666666,68289.491959651,0.0311341734618235,0.0511489992587101,0.119,0.025,2698,1,0.23333333333333295,0.16666666666666696,1.7789326459294843,0.357899999999999,0.09999999999999787,0,0
2008-07-01,-13131.19999999972,3.9,4.604933333333333,9.783850181539206,7.666666666666667,26.099999999999998,53523.64196007652,0.0316901408450704,0.0528169014084507,0.092,0.074,2556,1,0.2333333333333334,0.16666666666666696,1.7257424082852388,0.09983333333333366,-5.166666666666668,0,0
2008-10-01,-43599.39999999991,2.3666666666666667,4.166766666666667,3.202345806835671,8.133333333333333,15.133333333333333,8897.319021299016,0.0246443598477259,0.0575035063113604,0.115,0.058,4991,1,-1.5333333333333332,0.4666666666666659,-6.581504374703535,-0.4381666666666666,-10.966666666666665,1,0
2009-01-01,-74648.6000000001,1.0,4.1473,-2.0522400293947496,9.1,5.8,-66360.69749528496,0.0374064837905236,0.0629675810473815,0.144,0.102,1604,1,-1.3666666666666667,0.9666666666666668,-5.2545858362304205,-0.0194666666666663,-9.333333333333332,1,0
2009-04-01,-454.89999999990687,0.19999999999999998,4.181866666666667,-5.400565670634896,9.700000000000001,-3.533333333333333,-67203.28905266803,0.0370553359683794,0.0825098814229249,0.093,0.066,2024,1,-0.8,0.6000000000000014,-3.3483256412401468,0.034566666666666634,-9.333333333333332,1,0
2009-07-01,9070.0,-0.3333333333333333,3.9486000000000003,-6.687807798116437,9.966666666666667,-10.5,-58453.561677908525,0.0302832953435363,0.040377727124715,0.127,0.037,3071,0,-0.5333333333333333,0.2666666666666657,-1.2872421274815409,-0.23326666666666673,-6.966666666666667,1,0
2009-10-01,10652.799999999814,0.43333333333333335,3.8374,-1.506260584302617,10.2,-6.666666666666667,-48165.919342406094,0.0151228733459357,0.0359168241965973,0.059,0.074,529,0,0.7666666666666666,0.2333333333333325,5.18154721381382,-0.11120000000000019,3.833333333333333,0,0
